1444,5555323.55,7427386.94
1113,5555330.03,7427381.62
4013,5555344.4,7427365.59
4000,5555348.35,7427362.19
3968,5555345.95,7427360.38
3676,5555357.88,7427348.0
705,5555359.08,7427334.41
3273,5555335.33,7427326.18
3379,5555340.69,7427320.81
1855,5555337.86,7427318.72
3679,5555335.96,7427317.91
485,5555325.28,7427313.39
2103,5555323.3,7427312.48
3323,5555304.1,7427346.17
3026,5555290.24,7427366.76
2761,5555305.63,7427379.6
1635,5555310.09,7427382.91
1995,5555315.03,7427385.76
4043,5555319.4,7427385.87
